,Unnamed: 0,publish_date,polarity,subjectivity,content,brand
0,0,2021-06-30 00:00:00+00:00,0.1241837712096332,0.4787383689107827,1,Nike
39,39,2021-06-30 00:00:00+00:00,0.1629999999999999,0.3683227513227513,1,Adidas
1,1,2021-07-31 00:00:00+00:00,,,0,Nike
40,40,2021-07-31 00:00:00+00:00,,,0,Adidas
2,2,2021-08-31 00:00:00+00:00,0.1722478755812088,0.4354529421196088,1,Nike
41,41,2021-08-31 00:00:00+00:00,,,0,Adidas
3,3,2021-09-30 00:00:00+00:00,,,0,Nike
42,42,2021-09-30 00:00:00+00:00,,,0,Adidas
4,4,2021-10-31 00:00:00+00:00,0.1524760513296227,0.4222972170686454,1,Nike
43,43,2021-10-31 00:00:00+00:00,,,0,Adidas
5,5,2021-11-30 00:00:00+00:00,-0.0683501683501683,0.2298821548821549,1,Nike
44,44,2021-11-30 00:00:00+00:00,,,0,Adidas
6,6,2021-12-31 00:00:00+00:00,0.1688749368653676,0.4507177777034232,4,Nike
45,45,2021-12-31 00:00:00+00:00,,,0,Adidas
7,7,2022-01-31 00:00:00+00:00,,,0,Nike
46,46,2022-01-31 00:00:00+00:00,,,0,Adidas
47,47,2022-02-28 00:00:00+00:00,,,0,Adidas
8,8,2022-02-28 00:00:00+00:00,,,0,Nike
9,9,2022-03-31 00:00:00+00:00,0.1434974472791731,0.4407390649395727,1,Nike
48,48,2022-03-31 00:00:00+00:00,0.1434974472791731,0.4407390649395727,1,Adidas
10,10,2022-04-30 00:00:00+00:00,0.2218708827404479,0.4742348231478667,1,Nike
49,49,2022-04-30 00:00:00+00:00,,,0,Adidas
11,11,2022-05-31 00:00:00+00:00,0.0744559327177352,0.5133946763775091,1,Nike
50,50,2022-05-31 00:00:00+00:00,,,0,Adidas
12,12,2022-06-30 00:00:00+00:00,,,0,Nike
51,51,2022-06-30 00:00:00+00:00,0.1233333333333333,0.3328603603603603,1,Adidas
52,52,2022-07-31 00:00:00+00:00,,,0,Adidas
13,13,2022-07-31 00:00:00+00:00,0.1776795162509448,0.4369579626722483,1,Nike
14,14,2022-08-31 00:00:00+00:00,,,0,Nike
53,53,2022-08-31 00:00:00+00:00,,,0,Adidas
15,15,2022-09-30 00:00:00+00:00,-0.1236842105263158,0.3894736842105263,1,Nike
54,54,2022-09-30 00:00:00+00:00,,,0,Adidas
55,55,2022-10-31 00:00:00+00:00,,,0,Adidas
16,16,2022-10-31 00:00:00+00:00,,,0,Nike
17,17,2022-11-30 00:00:00+00:00,0.1188247076306777,0.3172384829101247,2,Nike
56,56,2022-11-30 00:00:00+00:00,,,0,Adidas
57,57,2022-12-31 00:00:00+00:00,,,0,Adidas
18,18,2022-12-31 00:00:00+00:00,,,0,Nike
58,58,2023-01-31 00:00:00+00:00,,,0,Adidas
19,19,2023-01-31 00:00:00+00:00,0.144784832688824,0.4663671752475855,4,Nike
59,59,2023-02-28 00:00:00+00:00,,,0,Adidas
20,20,2023-02-28 00:00:00+00:00,0.1167382076797661,0.4361879966173798,8,Nike
60,60,2023-03-31 00:00:00+00:00,0.1854644576607194,0.524886717643727,2,Adidas
21,21,2023-03-31 00:00:00+00:00,,,0,Nike
61,61,2023-04-30 00:00:00+00:00,,,0,Adidas
22,22,2023-04-30 00:00:00+00:00,0.1492857142857143,0.5221428571428571,2,Nike
62,62,2023-05-31 00:00:00+00:00,,,0,Adidas
23,23,2023-05-31 00:00:00+00:00,,,0,Nike
63,63,2023-06-30 00:00:00+00:00,,,0,Adidas
24,24,2023-06-30 00:00:00+00:00,0.1401679841897233,0.3574440052700923,1,Nike
25,25,2023-07-31 00:00:00+00:00,0.1588434688833624,0.4070422116299773,1,Nike
64,64,2023-07-31 00:00:00+00:00,,,0,Adidas
65,65,2023-08-31 00:00:00+00:00,0.1630457057876412,0.434739544804061,3,Adidas
26,26,2023-08-31 00:00:00+00:00,,,0,Nike
66,66,2023-09-30 00:00:00+00:00,0.1924340373431282,0.4764889588525951,1,Adidas
27,27,2023-09-30 00:00:00+00:00,0.1924340373431282,0.4764889588525951,1,Nike
67,67,2023-10-31 00:00:00+00:00,,,0,Adidas
28,28,2023-10-31 00:00:00+00:00,0.2085606812169312,0.4901868386243385,2,Nike
68,68,2023-11-30 00:00:00+00:00,0.1513291640695487,0.3920399134341441,1,Adidas
29,29,2023-11-30 00:00:00+00:00,0.1412655740982664,0.4232222308318462,2,Nike
69,69,2023-12-31 00:00:00+00:00,,,0,Adidas
30,30,2023-12-31 00:00:00+00:00,0.1289118867243867,0.3735569985569985,4,Nike
70,70,2024-01-31 00:00:00+00:00,,,0,Adidas
31,31,2024-01-31 00:00:00+00:00,0.2027621999212908,0.3527769578905942,1,Nike
71,71,2024-02-29 00:00:00+00:00,0.198170731707317,0.4329737335834896,1,Adidas
32,32,2024-02-29 00:00:00+00:00,0.1976339115301507,0.4536099936385261,10,Nike
33,33,2024-03-31 00:00:00+00:00,0.1573512357401274,0.4563190873290403,8,Nike
72,72,2024-03-31 00:00:00+00:00,0.1462013733393044,0.3908077449370552,5,Adidas
73,73,2024-04-30 00:00:00+00:00,0.1533237291460975,0.4131400945545682,2,Adidas
34,34,2024-04-30 00:00:00+00:00,0.1451782876340159,0.4367226243314138,10,Nike
74,74,2024-05-31 00:00:00+00:00,0.1492201903125656,0.4083869116383778,3,Adidas
35,35,2024-05-31 00:00:00+00:00,0.1174364678450821,0.4619862699446401,9,Nike
75,75,2024-06-30 00:00:00+00:00,0.1607501889644746,0.5187509448223735,2,Adidas
36,36,2024-06-30 00:00:00+00:00,0.1819017912483875,0.4282520128883404,11,Nike
76,76,2024-07-31 00:00:00+00:00,0.1928269876962693,0.4778289920774849,11,Adidas
37,37,2024-07-31 00:00:00+00:00,0.1385883339184574,0.440914437130002,34,Nike
38,38,2024-08-31 00:00:00+00:00,0.1431816999102919,0.4593030707081487,74,Nike
77,77,2024-08-31 00:00:00+00:00,0.17882530724498,0.4815170221763682,26,Adidas
